district,crop_name,disease_name,risk_level,reported_cases,date,recommended_action
Dharwad,Cotton,Pink Bollworm,Medium,84,2024-11-26,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Madurai,Maize,Fall Armyworm,Medium,164,2024-12-06,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Belagavi,Wheat,Stem Rust,Low,34,2024-12-07,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Coimbatore,Cotton,Boll Rot,Low,6,2024-12-08,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Chittoor,Cotton,Whitefly,Critical,467,2024-12-09,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Anantapur,Wheat,Stem Rust,High,42,2024-12-10,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Cuddalore,Groundnut,Bud Necrosis,High,129,2024-12-11,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Belagavi,Maize,Fall Armyworm,High,198,2024-12-15,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Shimoga,Wheat,Stem Rust,Medium,91,2024-12-15,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Kurnool,Rice,Blast Disease,Low,9,2024-12-15,Spray Tricyclazole 75 WP @ 0.6 g/L; avoid excess nitrogen application.
Belagavi,Wheat,Stem Rust,Low,24,2024-12-18,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Chittoor,Maize,Fall Armyworm,Medium,149,2024-12-19,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Mahbubnagar,Wheat,Stem Rust,Medium,108,2024-12-19,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Cuddalore,Groundnut,Bud Necrosis,High,164,2024-12-19,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Belagavi,Wheat,Stem Rust,Medium,106,2024-12-19,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Belagavi,Wheat,Stem Rust,High,76,2024-12-20,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Dharwad,Groundnut,Red Hairy Caterpillar,Low,27,2024-12-20,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Thanjavur,Groundnut,Bud Necrosis,Critical,483,2024-12-20,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Anantapur,Sugarcane,Smut,Low,29,2024-12-21,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Nalgonda,Cotton,Pink Bollworm,Medium,32,2024-12-23,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Khammam,Sugarcane,Red Rot,Low,6,2024-12-25,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Dharwad,Wheat,Leaf Blight,High,50,2024-12-25,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Mandya,Cotton,Pink Bollworm,High,77,2024-12-29,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Khammam,Maize,Turcicum Leaf Blight,Low,6,2024-12-29,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Thanjavur,Sugarcane,Red Rot,High,113,2024-12-31,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Belagavi,Sugarcane,Sugarcane Aphids,Critical,345,2024-12-31,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Mahbubnagar,Wheat,Leaf Blight,Low,25,2025-01-03,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Shimoga,Cotton,Pink Bollworm,Low,16,2025-01-04,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Mahbubnagar,Groundnut,Bud Necrosis,Medium,101,2025-01-04,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Cuddalore,Sugarcane,Sugarcane Aphids,High,114,2025-01-06,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Karimnagar,Wheat,Stem Rust,Low,31,2025-01-06,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Karimnagar,Wheat,Leaf Blight,High,42,2025-01-06,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Belagavi,Sugarcane,Red Rot,Low,10,2025-01-08,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Anantapur,Wheat,Stem Rust,Low,16,2025-01-08,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Coimbatore,Rice,Blast Disease,Low,5,2025-01-09,Spray Tricyclazole 75 WP @ 0.6 g/L; avoid excess nitrogen application.
Shimoga,Wheat,Leaf Blight,Low,30,2025-01-15,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Guntur,Rice,Brown Plant Hopper (BPH),Critical,129,2025-01-15,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Coimbatore,Cotton,Pink Bollworm,Medium,110,2025-01-15,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Cuddalore,Cotton,Boll Rot,Medium,30,2025-01-16,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Dharwad,Wheat,Leaf Blight,High,61,2025-01-21,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Belagavi,Sugarcane,Red Rot,Low,10,2025-01-22,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Guntur,Rice,Bacterial Leaf Blight,Low,4,2025-01-22,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Coimbatore,Sugarcane,Smut,Critical,197,2025-01-23,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Coimbatore,Wheat,Leaf Blight,Medium,85,2025-01-25,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Shimoga,Wheat,Leaf Blight,Medium,31,2025-01-25,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Tumakuru,Rice,Blast Disease,Low,3,2025-01-26,Spray Tricyclazole 75 WP @ 0.6 g/L; avoid excess nitrogen application.
Kurnool,Wheat,Stem Rust,Low,5,2025-01-27,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Guntur,Maize,Fall Armyworm,Medium,180,2025-01-28,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Tumakuru,Wheat,Stem Rust,Low,9,2025-01-30,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Shimoga,Groundnut,Bud Necrosis,Medium,112,2025-02-03,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Guntur,Sugarcane,Smut,Medium,110,2025-02-04,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Cuddalore,Rice,Brown Plant Hopper (BPH),Low,18,2025-02-05,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Madurai,Cotton,Whitefly,High,189,2025-02-06,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Kurnool,Wheat,Stem Rust,High,44,2025-02-06,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Chittoor,Maize,Turcicum Leaf Blight,Medium,95,2025-02-09,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Anantapur,Groundnut,Red Hairy Caterpillar,High,15,2025-02-11,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Nizamabad,Maize,Turcicum Leaf Blight,Low,27,2025-02-12,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Mahbubnagar,Maize,Fall Armyworm,High,175,2025-02-14,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Coimbatore,Wheat,Leaf Blight,Medium,86,2025-02-14,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Shimoga,Groundnut,Red Hairy Caterpillar,High,103,2025-02-14,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Kurnool,Cotton,Pink Bollworm,Critical,113,2025-02-15,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Mahbubnagar,Groundnut,Red Hairy Caterpillar,Low,22,2025-02-17,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Tumakuru,Rice,Blast Disease,Low,4,2025-02-17,Spray Tricyclazole 75 WP @ 0.6 g/L; avoid excess nitrogen application.
Kurnool,Cotton,Whitefly,Critical,255,2025-02-18,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Khammam,Sugarcane,Smut,Medium,63,2025-02-19,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Shimoga,Cotton,Boll Rot,Medium,22,2025-02-20,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Kurnool,Maize,Fall Armyworm,Critical,380,2025-02-20,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Chittoor,Sugarcane,Sugarcane Aphids,Medium,136,2025-02-22,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Madurai,Wheat,Stem Rust,Low,19,2025-02-22,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
